Item,Calories,TotalFat,Carbs,Protein
BBQ Rib,580,31,54,21
Black Forest Ham,260,4,42,18
Chicken & Bacon Ranch Melt,530,26,41,36
Chicken Mango Curry,330,7,43,24
Chicken Tikka,290,5,39,23
Chicken Vindaloo,340,9,42,24
Classic Tuna,450,25,38,19
Cold Cut Combo,320,12,40,16
Genoa Salami,430,23,40,18
Italian B.M.T.®,380,17,40,19
Meatball Marinara,420,18,47,19
Ham & Jack Slider,150,4.5,18,8
Italian Spice Slider,230,14,18,8
Little Cheesesteak Slider,170,7,19,7
Little Turkey Slider,200,10,18,9
Southwest Chicken Club,550,27,43,34
Steak Club,490,25,40,27
Ultimate Steak,600,35,42,31
Oven Roasted Chicken,260,3.5,40,23
Paneer Tikka,570,30,48,29
Roast Beef,280,4.5,40,25
Rotisserie-Style Chicken,310,6,40,28
Spicy Italian,450,24,40,18
Steak & Cheese,340,10,39,22
Subway Club®,280,4,41,25
Sweet Onion Chicken Teriyaki,320,4,52,25
Turkey & Bacon Guacamole,780,27,87,49
Turkey Breast,250,3,41,20
Ultimate Meatball Marinara,720,45,51,30
Ultimate Spicy Italian,730,52,40,28
Veggie Delite®,190,2,39,9
BBQ Rib,440,30,28,17
Black Forest Ham,120,3,12,13
Chicken & Bacon Ranch,460,33,13,32
Cold Cut Combo,180,11,12,12
Italian B.M.T. ®,240,15,12,14
Meatball Marinara,290,16,22,15
Oven Roasted Chicken,120,2.5,10,17
Roast Beef,140,3.5,10,19
Rotisserie-Style Chicken,170,5,10,23
Southwest Chipotle Chicken Club,780,53,25,54
Spicy Italian,300,23,12,14
Steak & Cheese,200,9,13,19
Steak Club Salad,480,26,21,44
Subway Club®,140,3,11,19
Sweet Onion Chicken Teriyaki,210,3,30,19
Tuna,310,24,10,15
Turkey Breast,110,2,11,14
Veggie Delite®,50,1,9,3
"Bacon, Egg & Cheese",450,20,45,24
"Black Forest Ham, Egg & Cheese",410,16,45,24
Egg & Cheese,380,15,44,19
"Steak, Egg & Cheese",440,18,46,27
Bacon,70,6,1,5
Caramel Apple Cookie,210,6,37,2
Chocolate Chip Cookie,210,10,29,2
Chocolate Chip with M&M’s ®,210,10,30,2
Chocolate Chunk Cookie,210,10,30,2
Dark Chocolate Cherry Cookie,200,8,33,2
Double Chocolate,210,9,30,2
Oatmeal Raisin Cookie,200,8,30,3
Pepperoni,80,7,1,3
Raspberry Cheesecake Cookie,200,9,29,2
Raspberry Lemonade Cookie,230,11,31,2
Sugar Cookie,230,12,28,2
White Chip Macadamia Nut Cookie,220,11,28,2
BBQ Rib Signature Wrap,1080,65,86,38
Black Forest Ham,440,12,57,29
Chicken & Bacon Ranch Melt,1590,78,111,118
Chipotle Southwest Steak & Cheese,710,33,63,41
Cold Cut Combo,560,27,57,27
Cripsy Cauliflower Ranch Signature Wrap,820,35,114,15
Italian B.M.T. ®,680,37,57,32
Meatball Marinara,770,39,75,34
Cauliflower Fritter Curry Signature Wrap,790,31,113,15
Oven Roasted Chicken,460,11,53,38
Roast Beef,490,13,53,42
Rotisserie-Style Chicken,550,16,53,49
Savory Rotisserie-Style Chicken Caesar,680,30,52,53
Spicy Italian,820,52,57,31
Subway Club®,490,12,56,42
Sweet Onion Chicken Teriyaki,540,12,70,42
Tuna,820,54,53,33
Turkey Breast,430,10,56,32
"Turkey, Bacon & Guacamole",760,37,61,47
Veggie Delite®,330,8,55,10
Roasted Garlic,210,2.5,41,7
9-Grain Honey Oat,190,2,39,8
9-Grain Wheat,180,1.5,36,8
Artisan Flatbread,220,4,41,8
Hearty Italian**,210,2.5,40,7
Italian,180,2,34,6
Italian Herbs & Cheese,220,4.5,37,9
Jalapeño Cheese,220,5,37,9
Mini 9-Grain Wheat,120,1,24,5
Mini Italian,130,1.5,25,5
Monterey Cheddar**,220,5,34,9
Parmesan Oregano**,190,2.5,37,7
Rosemary & Sea Salt,220,3,40,7
Spinach Wrap,290,8,48,8
Tomato Basil Wrap,290,8,49,8
American,40,3.5,1,2
Cheddar**,60,4.5,0,4
Monterey Cheddar,50,4.5,0,3
Pepperjack**,50,4,0,2
Provolone,50,4,0,4
Shredded Mozzarella,40,3,0,3
Swiss**,50,4.5,0,4
Bacon,70,6,1,5
Guacamole,60,5,4,1
Pepperoni,80,7,1,3
Chipotle Southwest,60,7,1,0
Honey Mustard**,20,0,4,0
Light Mayonnaise,50,5,1,0
Oil,45,5,0,0
Ranch,70,8,1,0
Red Wine Vinegar,0,0,0,0
Regular Mayonnaise,100,11,0,0
Savory Caesar**,80,9,0,0
Spicy Brown Mustard,15,1,1,0
Subway® Vinaigrette,35,3.5,1,0
Sweet Onion Sauce,30,0,8,0
Yellow Mustard,10,0.5,1,0
Banana Peppers,0,0,0,0
Black Olives,0,0,0,0
Cucumbers,0,0,1,0
Green Peppers,0,0,0,0
Jalapenos,0,0,0,0
Lettuce,0,0,0,0
Pickles,0,0,0,0
Red Onions,0,0,1,0
Spinach,0,0,0,0
Tomatoes,5,0,1,0
Bacon,70,6,1,5
Parmesan Cheese,5,0,0,1
