Item,Calories,Total Fat,Carbs,Protein
ALL AMERICAN ROLL,530,30,60,12
ALL STAR COMBO,670,35,78,13
ATOMIC ROLL,350,10,44,19
CALIFORNIA ROLL,270,6,48,7
CALIFORNIA COMBO,560,24,74,11
CALIFORNIA ROLL PLUS,470,9,70,10
CATERPILLAR ROLL,450,21,61,11
CRUNCHY CALIFORNIA ROLL,460,22,62,9
CRUNCHY SHRIMP ROLL,440,16,52,8
DRAON ROLL - RILLED EEL,380,12,48,16
DRAON ROLL - SALMON,250,4,21,7
DRAON ROLL - TUNA,300,5,44,16
DYNAMITE ROLL,530,27,59,8
RILLED EEL ROLL,330,9,51,16
INARI SUSHI,80,3,11,3
NIIRI DELUXE,250,3.5,35,17
PHILADELPHIA ROLL IMITATION CRAB,360,16,51,9
PHILADELPHIA ROLL SMOKED SALMON,370,15,46,12
RAINBOW ROLL,420,6,69,19
SALMON & AVOCADO ROLL,420,11,69,19
SALMON ROLL,300,16,43,15
SALMON LOVERS COMBO,330,16,46,13
SASHIMI,450,3.5,58,28
SHAY DO ROLL,550,17,65,27
SOUTH WEST ROLL,160,22,6,24
SPICY CALIFORNIA ROLL,470,16,65,12
SPICY CALIFORNIA ROLL PLUS,550,23,68,16
SPICY CRAB ROLL PLUS,360,19,48,7
SPICY SHRIMP ROLL,520,1.5,70,10
SPICY TUNA ROLL,530,6,81,13
SPRIN ROLL - SHRIMP,300,7,46,23
SUMMER ROLL,300,8,42,21
SUSHI & NIIRI COMBO,380,8,63,15
SUSHI DELIHT COMBO,370,11,66,12
SUSHIC COMBO,350,10,52,19
TAILATER'S SPECIAL,380,28,40,32
TEMPURA IMITATION CRAB ROLL,510,22,67,37
TEMPURA SHRIMP ROLL,640,20,87,15
TUNA & AVOCADO ROLL,450,5,54,9
TUNA ROLL,470,3.5,51,8
TUNA LOVERS COMBO,290,3.5,46,16
VEIE ROLL PLUS,350,8,58,32
POTSTICKER - CHICKEN,300,10,65,31
POTSTICKER - PORK,380,19,70,7
CRUNCHY CALIFORNIA BURRITO,450,31,35,6
DYNAMITE TUNA BURRITO,220,4,35,9
VOLCANO BURRITO,460,26,38,16
SALMON POKE BOWL,310,19,15,20
TUNA POKE BOW,220,8,15,23
