name,calories,totalfat,carbs,protein
Cornstarch,381,0.1,91.27,0.26
"Nuts, pecans",691,72,13.86,9.17
"Eplant, raw",25,0.2,5.88,0.98
"Teff, uncooked",367,2.4,73.13,13.30
"Sherbet, orane",144,2,30.40,1.10
"Cauliflower, raw",25,0.3,4.97,1.92
"Taro leaves, raw",42,0.7,6.70 ,4.98
"Lamb, raw, round",282,23,0.00 ,16.56
"Cheese, camembert",300,24,0.46 ,19.80
Veetarian fillets,290,18,9.00 ,23.00
"PACE, Picante Sauce",25,0,6.25 ,0.00
"oji berries, dried",349,0.4,77.06 ,14.26
"Mano nectar, canned",51,0.1,13.12 ,0.11
"Crackers, rusk toast",407,7.2,72.30 ,13.50
"Chicken, boiled, feet",215,15,0.20 ,19.40
"Quail, raw, meat only",134,4.5,0.00 ,21.76
"Pie, lemon, fried pies",316,16,42.60 ,3.00
"Peppers, raw, jalapeno",29,0.4,6.50 ,0.91
"Wined bean tuber, raw",148,0.9,28.10 ,11.60
"Salami, turkey, cooked",172,9.2,1.55 ,19.20
"rapes, raw, muscadine",57,0.5,13.93 ,0.81
"Nuts, raw, inko nuts",182,1.7,37.60 ,4.32
"Spices, round, savory",272,5.9,68.73 ,6.73
"Candies, sesame crunch",516,33,50.30 ,11.60
"Cheese, low fat, cream",201,15,8.13 ,7.85
"PACE, reen Taco Sauce",25,0,6.25 ,0.00
"Syrup, Canadian, maple",270,0,67.38 ,0.00
"Ostrich, raw, top loin",119,3,0.00 ,21.67
"Chewin um, suarless",268,0.4,94.80 ,0.00
"Nuts, dried, pine nuts",673,68,13.08 ,13.69
"Pasta, unenriched, dry",371,1.5,74.67 ,13.04
"McDONALD'S, Side Salad",20,0.2,4.30 ,1.03
"Cookies, Marie biscuit",406,11,70.54 ,7.05
"Broccoli, raw, chinese",30,0.8,4.67 ,1.20
"McDONALD'S, Hash Brown",271,16,28.56 ,2.48
"Aave, raw (Southwest)",68,0.2,16.23 ,0.52
"Emu, raw, outside drum",103,0.5,0.00 ,23.08
"Nuts, dried, beechnuts",576,50,33.50 ,6.20
"Currants, dried, zante",283,0.3,74.08 ,4.08
"Lentils, raw, sprouted",106,0.6,22.14 ,8.96
"ravy, mix, dry, onion",322,3,67.64 ,9.00
"Pie, fruit, fried pies",316,16,42.60 ,3.00
"Snacks, cakes, popcorn",384,3.1,80.10 ,9.70
"Snack, Mixed Berry Bar",383,11,58.84 ,13.16
"Fish, raw, sheepshead",108,2.4,0.00 ,20.21
"Babyfood, pear, juice",47,0,11.86 ,0.00
"Brussels sprouts, raw",43,0.3,8.95 ,3.38
"Broccoli raab, cooked",33,0.5,3.12 ,3.83
"Butter oil, anhydrous",876,99,0.00 ,0.28
"Chicory, raw, witloof",17,0.1,4.00 ,0.90
"KEEBLER, Waffle Cones",424,5.3,87.70 ,6.50
"KEEBLER, Waffle Bowls",424,5.3,87.70 ,6.50
"Broccoli, raw, leaves",28,0.4,5.06 ,2.98
"Durian, raw or frozen",147,5.3,27.09 ,1.47
"Tomatoes, raw, orane",16,0.2,3.18 ,1.16
"Tomatoes, raw, yellow",15,0.3,2.98 ,0.98
"E custards, dry mix",410,6.4,82.80 ,6.90
"Peanut flour, low fat",428,22,31.27 ,33.80
"Fish, smoked, haddock",116,1,0.00 ,25.23
"DENNY'S, french fries",282,14,35.20 ,3.41
"round turkey, cooked",203,10,0.00 ,27.37
"MURRAY, Vanilla Wafer",461,17,72.90 ,4.00
"WENDY'S, french fries",301,14,39.73 ,3.73
"Bread, toasted, wheat",313,4.3,55.77 ,12.96
"Danish pastry, cheese",374,22,37.20 ,8.00
"Nuts, lazed, walnuts",500,36,47.59 ,8.28
"Spices, arlic powder",331,0.7,72.73 ,16.55
"Oil, soybean lecithin",763,100,0.00 ,0.00
"E, fresh, raw, yolk",322,27,3.59 ,15.86
"Fireweed, raw, leaves",103,2.8,19.22 ,4.71
"Beef, pastrami, cured",147,5.8,0.36 ,21.80
"Frankfurter, meatless",233,14,7.70 ,19.61
"Emu, raw, flat fillet",102,0.7,0.00 ,22.25
"Emu, raw, inside drum",108,1.5,0.00 ,22.22
"Ice creams, chocolate",216,11,28.20 ,3.80
"Snacks, potato sticks",522,34,53.30 ,6.70
"USDA Commodity, salsa",36,0.2,7.00 ,1.50
"Fis, uncooked, dried",249,0.9,63.87 ,3.30
"ame meat, raw, horse",133,4.6,0.00 ,21.39
"Syrup, fruit flavored",261,0,65.10 ,0.00
"Broccoli, raw, stalks",28,0.4,5.24 ,2.98
"Cream, cultured, sour",198,19,4.63 ,2.44
"ravy, canned, au jus",16,0.2,2.50 ,1.20
"McDONALD'S, Hamburer",264,10,30.28 ,12.92
"Cheese, port de salut",352,28,0.57 ,23.78
SILK Oriinal Creamer,100,6.7,6.67 ,0.00
SILK Hazelnut Creamer,133,6.7,20.00 ,0.00
"Soup, mix, dry, onion",293,0.3,65.07 ,7.48
"Mushrooms, raw, enoki",37,0.3,7.81 ,2.66
Bacon and beef sticks,517,44,0.80 ,29.10
"Salami, pork, Italian",425,37,1.20 ,21.70
"Crackers, whole-wheat",427,14,69.55 ,10.58
"Peanuts, raw, spanish",570,50,15.83 ,26.15
"Hominy, white, canned",72,0.9,14.26 ,1.48
"ame meat, raw, moose",102,0.7,0.00 ,22.24
"Pears, red anjou, raw",62,0.1,14.94 ,0.33
"Horseradish, prepared",48,0.7,11.29 ,1.18
"Fish, raw, butterfish",146,8,0.00 ,17.28
"Lebanon bolona, beef",172,10,0.44 ,19.03
Ham and cheese spread,245,19,2.28 ,16.18
"TACO BELL, Taco Salad",170,9.2,15.10 ,6.69
"Sauce, worcestershire",78,0,19.46 ,0.00
"Candies, marshmallows",318,0.2,81.30 ,1.80
"Hummus, home prepared",177,8.6,20.12 ,4.86
Horned melon (Kiwano),44,1.3,7.56 ,1.78
Ice cream sundae cone,254,14,28.89 ,3.00
"Peppers, raw, serrano",32,0.4,6.70 ,1.74
"Cabbae, cooked, napa",12,0.2,2.23 ,1.10
"Peppers, dried, ancho",281,8.2,51.42 ,11.86
"Parsley, freeze-dried",271,5.2,42.38 ,31.30
"Spices, black, pepper",251,3.3,63.95 ,10.39
"Spices, white, pepper",296,2.1,68.61 ,10.40
"Yambean (jicama), raw",38,0.1,8.82 ,0.72
"Nuts, dried, pilinuts",719,80,3.98 ,10.80
"Kiwifruit, raw, reen",61,0.5,14.66 ,1.14
"Drumstick leaves, raw",64,1.4,8.28 ,9.40
"Yautia (tannier), raw",98,0.4,23.63 ,1.46
"Candies, butterscotch",391,3.3,90.40 ,0.03
"Cucumber, raw, peeled",12,0.2,2.16 ,0.59
"Dandelion reens, raw",45,0.7,9.20 ,2.70
"Melons, raw, honeydew",36,0.1,9.09 ,0.54
Potato salad with e,157,9.4,16.18 ,1.96
"Mushrooms, raw, white",22,0.3,3.26 ,3.09
"Mushrooms, raw, morel",31,0.6,5.10 ,3.12
"Cheese, Mexican blend",358,29,1.75 ,23.54
"Oranes, Florida, raw",46,0.2,11.54 ,0.70
"SILK Vanilla, soymilk",41,1.4,4.12 ,2.47
"Papaya nectar, canned",57,0.2,14.51 ,0.17
"Fiddlehead ferns, raw",34,0.4,5.54 ,4.55
SILK Peach soy yourt,94,1.2,18.82 ,2.35
SILK Plain soy yourt,66,1.8,9.69 ,2.64
"PACE, Enchilada Sauce",40,0,8.33 ,1.67
Yeast extract spread,185,0.9,20.42 ,23.88
"Tomatoes, raw, reen",23,0.2,5.10 ,1.20
"Mollusks, raw, snail",90,1.4,2.00 ,16.10
"Emu, raw, fan fillet",103,0.8,0.00 ,22.50
"Pasta, enriched, dry",371,1.5,74.67 ,13.04
"Cookies, inersnaps",416,9.8,76.90 ,5.60
"Sour cream, fat free",74,0,15.60 ,3.10
"MURRAY, Honey raham",445,13,75.70 ,5.90
"Frankfurter, chicken",223,16,2.74 ,15.51
"Ham, canned, chopped",239,19,0.26 ,16.06
"Spices, dried, thyme",276,7.4,63.94 ,9.11
"Carrot juice, canned",40,0.2,9.28 ,0.95
"Corn, dried (Navajo)",386,5.2,74.93 ,9.88
"Pate, truffle flavor",327,29,6.30 ,11.20
"Fruit butters, apple",173,0.3,42.47 ,0.39
"Fast foods, coleslaw",153,9.9,14.89 ,0.95
"Salami, beef, cooked",261,22,1.90 ,12.60
"Spices, chili powder",282,14,49.70 ,13.46
"Spices, caraway seed",333,15,49.90 ,19.77
"Spices, dried, basil",233,4.1,47.75 ,22.98
"Pickle relish, sweet",130,0.5,35.06 ,0.37
"Chives, freeze-dried",311,3.5,64.29 ,21.20
"Fish, raw, sablefish",195,15,0.00 ,13.41
"Crackers, multirain",482,20,67.60 ,7.10
"Spices, round, mace",475,32,50.50 ,6.71
"Spices, onion powder",341,1,79.12 ,10.41
"Butter, without salt",717,81,0.06 ,0.85
"Rice noodles, cooked",108,0.2,24.01 ,1.79
Barley flour or meal,345,1.6,74.52 ,10.50
"Sesbania flower, raw",27,0,6.73 ,1.28
"arlic bread, frozen",350,17,41.72 ,8.36
"KFC, Popcorn Chicken",351,22,21.18 ,17.67
"APPLEBEE'S, coleslaw",120,7.1,13.17 ,0.79
"Rolls, sweet, dinner",321,7.4,53.58 ,10.04
"Cherries, raw, sweet",63,0.2,16.01 ,1.06
"Ostrich, raw, round",165,8.7,0.00 ,20.22
"SILK Coffee, soymilk",62,1.4,10.29 ,2.06
"Snacks, banana chips",519,34,58.40 ,2.30
"Peaches, raw, yellow",39,0.3,9.54 ,0.91
"Rolls, wheat, dinner",273,6.3,46.00 ,8.60
"Candies, HEATH BITES",530,30,63.39 ,3.94
"Chicken, raw, round",143,8.1,0.04 ,17.44
"Pears, bartlett, raw",63,0.2,15.01 ,0.39
"Toppins, strawberry",254,0.1,66.30 ,0.20
"KEEBLER, Suar Cones",375,3.7,78.00 ,7.30
"Seaweed, raw, wakame",45,0.6,9.14 ,3.03
"Seaweed, dried, aar",306,0.3,80.88 ,6.21
"Bread, cracked-wheat",260,3.9,49.50 ,8.70
